Region,Country
Australia and New Zealand,"New Zealand, Australia, New Zealand, Australia, New Zealand, Australia, New Zealand, Australia, New Zealand, Australia"
Central and Eastern Europe,"Czech Republic, Uzbekistan, Slovakia, Moldova, Kazakhstan, Slovenia, Lithuania, Belarus, Poland, Croatia, Russia, Kosovo, Turkmenistan, Estonia, Kyrgyzstan, Azerbaijan, Montenegro, Romania, Republic of Serbia, Latvia, Macedonia, Albania, Bosnia and Herzegovina, Hungary, Tajikistan, Ukraine, Armenia, Georgia, Bulgaria, Czech Republic, Slovakia, Uzbekistan, Kazakhstan, Moldova, Russia, Poland, Lithuania, Belarus, Slovenia, Turkmenistan, Latvia, Romania, Estonia, Croatia, Kosovo, Azerbaijan, Kyrgyzstan, Republic of Serbia, Bosnia and Herzegovina, Montenegro, Hungary, Macedonia, Tajikistan, Albania, Armenia, Ukraine, Georgia, Bulgaria, Czech Republic, Slovakia, Poland, Uzbekistan, Russia, Lithuania, Latvia, Moldova, Romania, Turkmenistan, Kazakhstan, Slovenia, Estonia, Belarus, Republic of Serbia, Hungary, Croatia, Kosovo, Montenegro, Azerbaijan, Bosnia and Herzegovina, Macedonia, Tajikistan, Kyrgyzstan, Bulgaria, Albania, Armenia, Georgia, Ukraine, Czech Republic, Slovakia, Poland, Uzbekistan, Lithuania, Slovenia, Romania, Latvia, Russia, Kazakhstan, Estonia, Kosovo, Moldova, Turkmenistan, Hungary, Belarus, Republic of Serbia, Montenegro, Croatia, Azerbaijan, Tajikistan, Macedonia, Kyrgyzstan, Bosnia and Herzegovina, Bulgaria, Albania, Georgia, Armenia, Ukraine, Czech Republic, Slovakia, Poland, Uzbekistan, Lithuania, Slovenia, Kosovo, Romania, Latvia, Estonia, Kazakhstan, Hungary, Russia, Republic of Serbia, Moldova, Montenegro, Tajikistan, Croatia, Bosnia and Herzegovina, Belarus, Macedonia, Kyrgyzstan, Turkmenistan, Azerbaijan, Bulgaria, Albania, Armenia, Georgia, Ukraine"
Eastern Asia,"Taiwan, Japan, South Korea, China, Mongolia, Taiwan, Japan, South Korea, China, Mongolia, Taiwan, Japan, South Korea, China, Mongolia, Taiwan, Japan, South Korea, China, Mongolia, Taiwan, South Korea, Japan, Mongolia, China"
Latin America and Caribbean,"Costa Rica, Mexico, Puerto Rico, Brazil, Venezuela, Panama, Chile, Argentina, Uruguay, Colombia, Suriname, Trinidad and Tobago, El Salvador, Guatemala, Ecuador, Belize, Bolivia, Paraguay, Nicaragua, Peru, Jamaica, Dominican Republic, Honduras, Haiti, Costa Rica, Puerto Rico, Brazil, Mexico, Chile, Panama, Argentina, Uruguay, Colombia, Guatemala, Suriname, Trinidad and Tobago, Venezuela, El Salvador, Nicaragua, Ecuador, Belize, Bolivia, Peru, Paraguay, Jamaica, Dominican Republic, Honduras, Haiti, Costa Rica, Puerto Rico, Chile, Brazil, Argentina, Mexico, Uruguay, Guatemala, Panama, Colombia, Suriname, Trinidad and Tobago, Nicaragua, Ecuador, El Salvador, Belize, Bolivia, Peru, Paraguay, Jamaica, Venezuela, Dominican Republic, Honduras, Haiti, Costa Rica, Puerto Rico, Mexico, Chile, Panama, Brazil, Argentina, Guatemala, Uruguay, Suriname, Colombia, Trinidad and Tobago, El Salvador, Nicaragua, Ecuador, Belize, Jamaica, Bolivia, Paraguay, Peru, Honduras, Dominican Republic, Venezuela, Haiti, Costa Rica, Puerto Rico, Mexico, Chile, Guatemala, Panama, Brazil, Uruguay, Suriname, El Salvador, Trinidad and Tobago, Colombia, Nicaragua, Argentina, Ecuador, Belize, Jamaica, Honduras, Bolivia, Paraguay, Peru, Dominican Republic, Venezuela, Haiti"
Middle East and Northern Africa,"Israel, United Arab Emirates, Oman, Qatar, Saudi Arabia, Kuwait, Libya, Algeria, Turkey, Jordan, Morocco, Lebanon, Tunisia, West Bank, Iran, Iraq, Egypt, Yemen, Syria, Israel, Oman, United Arab Emirates, Saudi Arabia, Qatar, Algeria, Kuwait, Libya, Turkey, Jordan, Morocco, Lebanon, Tunisia, Iran, West Bank, Iraq, Egypt, Yemen, Syria, Israel, Oman, United Arab Emirates, Qatar, Saudi Arabia, Kuwait, Algeria, Libya, Turkey, Jordan, Morocco, Lebanon, Tunisia, West Bank, Egypt, Iran, Iraq, Yemen, Syria, Oman, Israel, United Arab Emirates, Qatar, Saudi Arabia, Kuwait, Libya, Turkey, Lebanon, Algeria, Morocco, Jordan, West Bank, Iran, Tunisia, Iraq, Egypt, Syria, Yemen, Israel, Oman, United Arab Emirates, Saudi Arabia, Qatar, Kuwait, Libya, Turkey, Algeria, Morocco, Lebanon, Jordan, West Bank, Iran, Tunisia, Iraq, Egypt, Syria, Yemen"
North America,"Canada, United States of America, Canada, United States of America, Canada, United States of America, Canada, United States of America, Canada, United States of America"
Southeastern Asia,"Thailand, Malaysia, Indonesia, Vietnam, Philippines, Laos, Myanmar, Cambodia, Thailand, Malaysia, Indonesia, Philippines, Vietnam, Laos, Myanmar, Cambodia, Thailand, Malaysia, Philippines, Indonesia, Vietnam, Laos, Myanmar, Cambodia, Malaysia, Thailand, Philippines, Vietnam, Indonesia, Laos, Cambodia, Myanmar, Thailand, Philippines, Malaysia, Indonesia, Vietnam, Laos, Cambodia, Myanmar"
Southern Asia,"Bhutan, Pakistan, Bangladesh, India, Nepal, Sri Lanka, Afghanistan, Bhutan, Pakistan, Nepal, Bangladesh, Sri Lanka, India, Afghanistan, Pakistan, Bhutan, Nepal, Bangladesh, Sri Lanka, India, Afghanistan, Pakistan, Bhutan, Nepal, Bangladesh, Sri Lanka, India, Afghanistan, Pakistan, Bhutan, Nepal, Bangladesh, Sri Lanka, India, Afghanistan"
Sub-Saharan Africa,"Nigeria, Zambia, Somalia, Somaliland, Mozambique, Lesotho, Swaziland, South Africa, Ghana, Zimbabwe, Liberia, Namibia, Sudan, Democratic Republic of the Congo, Gambia, Ethiopia, Sierra Leone, Mauritania, Kenya, Djibouti, Botswana, Malawi, Cameroon, Angola, Mali, Republic of the Congo, Uganda, Senegal, Gabon, Niger, United Republic of Tanzania, Madagascar, Central African Republic, Chad, Guinea, Ivory Coast, Burkina Faso, Rwanda, South Sudan, Benin, Burundi, Togo, Somalia, Somaliland, Nigeria, Zambia, Sierra Leone, Mozambique, Namibia, Swaziland, Gambia, Cameroon, Ethiopia, South Africa, Djibouti, Kenya, Ghana, Democratic Republic of the Congo, Republic of the Congo, Senegal, Mauritania, Zimbabwe, Malawi, Sudan, Gabon, Lesotho, Mali, Botswana, Ivory Coast, Angola, Niger, South Sudan, Chad, Uganda, Burkina Faso, Madagascar, United Republic of Tanzania, Liberia, Guinea, Rwanda, Benin, Togo, Central African Republic, Burundi, Somalia, Nigeria, Somaliland, South Africa, Sierra Leone, Cameroon, Namibia, Kenya, Mozambique, Swaziland, Senegal, Gambia, Zambia, Gabon, Ethiopia, Djibouti, Mauritania, Republic of the Congo, Democratic Republic of the Congo, Mali, Ivory Coast, Sudan, Ghana, Uganda, Burkina Faso, Niger, Malawi, Chad, Zimbabwe, Lesotho, Angola, Botswana, Benin, Madagascar, South Sudan, Liberia, Guinea, Togo, Rwanda, United Republic of Tanzania, Burundi, Central African Republic, Nigeria, Somaliland, Somalia, Cameroon, Gabon, South Africa, Ivory Coast, Ghana, Senegal, Sierra Leone, Republic of the Congo, Swaziland, Gambia, Mali, Namibia, Burkina Faso, Mozambique, Kenya, Zambia, Djibouti, Mauritania, Ethiopia, Chad, Democratic Republic of the Congo, Niger, Uganda, Benin, Sudan, Togo, Guinea, Lesotho, Angola, Madagascar, Zimbabwe, Botswana, Malawi, Liberia, Rwanda, United Republic of Tanzania, South Sudan, Central African Republic, Burundi, Nigeria, Somaliland, Cameroon, Ghana, Ivory Coast, Benin, Republic of the Congo, Gabon, South Africa, Senegal, Somalia, Namibia, Niger, Burkina Faso, Guinea, Gambia, Kenya, Mauritania, Mozambique, Democratic Republic of the Congo, Mali, Sierra Leone, Djibouti, Chad, Ethiopia, Sudan, Swaziland, Uganda, Zambia, Togo, Liberia, Madagascar, Angola, Lesotho, Burundi, Zimbabwe, Botswana, Malawi, Rwanda, United Republic of Tanzania, Central African Republic, South Sudan"
Western Europe,"Switzerland, Iceland, Denmark, Norway, Finland, Netherlands, Sweden, Austria, Luxembourg, Ireland, Belgium, United Kingdom, Germany, France, Spain, Italy, Northern Cyprus, Cyprus, Portugal, Greece, Denmark, Switzerland, Iceland, Norway, Finland, Netherlands, Sweden, Austria, Germany, Belgium, Ireland, Luxembourg, United Kingdom, France, Spain, Italy, Northern Cyprus, Cyprus, Portugal, Greece, Norway, Denmark, Iceland, Switzerland, Finland, Netherlands, Sweden, Austria, Ireland, Germany, Belgium, Luxembourg, United Kingdom, France, Spain, Italy, Northern Cyprus, Cyprus, Greece, Portugal, Finland, Norway, Denmark, Iceland, Switzerland, Netherlands, Sweden, United Kingdom, Austria, Ireland, Germany, Belgium, Luxembourg, France, Spain, Italy, Northern Cyprus, Cyprus, Portugal, Greece, Finland, Denmark, Norway, Iceland, Netherlands, Switzerland, Sweden, Austria, Luxembourg, United Kingdom, Ireland, Germany, Belgium, France, Spain, Italy, Cyprus, Northern Cyprus, Portugal, Greece"
